id,group_id
1,2
2,2
3,2
4,1
5,1
6,2
7,2
8,2
9,2
10,3
11,3
12,1
13,1
14,1
15,1
16,1
17,2
18,2
19,2
20,2
21,3
22,3
23,7
24,7
25,7
26,7
27,8
28,8
29,8
30,8
31,11
32,12
33,12
34,7
35,7
36,7
37,7
38,8
39,8
40,8
41,8
42,10
43,10
44,11
45,11
46,11
47,11
48,11
49,12
50,12
51,4
52,5
53,5
54,5
55,5
56,7
57,7
58,7
59,7
60,8
61,8
62,8
63,8
64,9
65,9
66,10
67,10
68,10
69,10
70,11
71,11
72,11
73,11
74,12
75,12
76,12
77,12
78,4
79,4
80,5
81,5
82,5
83,5
84,6
85,6
86,7
87,7
88,7
89,7
90,8
91,8
92,8
93,8
94,9
95,9
96,9
97,9
98,10
99,10
100,10
101,10
102,11
103,11
104,11
105,11
106,12
107,12
108,12
109,12
110,13
111,13
112,14
113,14
114,14
115,14
116,15
117,15
118,15
119,15
120,15
121,16
122,16
123,16
124,8
125,17
126,17
127,17
128,17
129,18
130,18
131,18
132,19
133,19
134,19
135,20
136,20
137,20
138,20
139,21
140,21
141,21
142,21
143,22
144,13
145,13
146,13
147,14
148,14
149,14
150,14
151,15
152,15
153,15
154,15
155,16
156,16
157,8
158,8
159,17
160,17
161,17
162,17
163,18
164,18
165,18
166,18
167,19
168,19
169,20
170,20
171,20
172,20
173,21
174,21
175,21
176,21
177,22
178,22
179,13
180,13
181,13
182,14
183,14
184,14
185,14
186,15
187,15
188,15
189,15
190,16
191,16
192,16
193,17
194,17
195,17
196,17
197,17
198,18
199,18
200,18
201,18
202,19
203,19
204,19
205,20
206,20
207,20
208,21
209,21
210,21
211,21
212,22
213,22
214,22
215,22
216,23
217,23
218,13
219,13
220,14
221,14
222,14
223,14
224,15
225,15
226,15
227,15
228,16
229,16
230,16
231,17
232,17
233,17
234,17
235,17
236,18
237,18
238,18
239,18
240,19
241,19
242,19
243,20
244,20
245,20
246,21
247,21
248,21
249,21
250,22
251,22
252,22
253,22
254,23
255,23
256,23
257,23
258,23
259,13
260,13
261,14
262,14
263,25
264,25
265,15
266,15
267,26
268,27
